Product Name,Product Version,Mapped Product Name,Lifecycle Color,Match Type,Match Details
InfoSphere Information Server: BigIntegrate and BigQuality (BIBQ),11.7.1,InfoSphere Information Server: BigIntegrate and BigQuality (BIBQ),blue,no_match,"No match found for product 'InfoSphere Information Server: BigIntegrate and BigQuality (BIBQ)' (mapped from 'InfoSphere Information Server: BigIntegrate and BigQuality (BIBQ)'), version '11.7.1'"
webMethods B2B,nan,webMethods B2B,blue,no_match,Empty or null version
WebSphere Application Server,25.0.0,WebSphere Application Server,red,wildcard,Wildcard match: version '25.0.0' matches pattern '5.0.x' in 'websphere application server'
Db2 Accessories Suite,421,Db2 Accessories Suite,blue,no_match,"No match found for product 'Db2 Accessories Suite' (mapped from 'Db2 Accessories Suite'), version '421'"
Tivoli Application Dependency Discovery Manager,722,Tivoli Application Dependency Discovery Manager,blue,no_match,"No match found for product 'Tivoli Application Dependency Discovery Manager' (mapped from 'Tivoli Application Dependency Discovery Manager'), version '722'"
Power System 595 Server,nan,Power System 595 Server,blue,no_match,Empty or null version
Informix Dynamic Server,IDS 14.10.xC9,IBM Informix Advanced Enterprise Edition,blue,no_match,"No match found for product 'IBM Informix Advanced Enterprise Edition' (mapped from 'Informix Dynamic Server'), version 'ids 14.10.xc9'"
Vault Self-Managed,1.12.3,Vault Self-Managed,blue,no_match,"No match found for product 'Vault Self-Managed' (mapped from 'Vault Self-Managed'), version '1.12.3'"
Advanced Audit DFSMShsm,1.1.0,Advanced Audit DFSMShsm,blue,no_match,"No match found for product 'Advanced Audit DFSMShsm' (mapped from 'Advanced Audit DFSMShsm'), version '1.1.0'"
Library Support for Struts,1.3,Library Support for Struts,green,substring,"Substring match: found 'library support for struts' in 'ibm library support for struts', version='1.3.x'"
Db2 Object Comparison Tool for z/OS,13.1,Db2 Object Comparison Tool for z/OS,blue,no_match,"No match found for product 'Db2 Object Comparison Tool for z/OS' (mapped from 'Db2 Object Comparison Tool for z/OS'), version '13.1'"
Apache Cassandra,3.11.10,Apache Cassandra,blue,no_match,"No match found for product 'Apache Cassandra' (mapped from 'Apache Cassandra'), version '3.11.10'"
Aspera,4.2.0,Aspera,red,substring,"Substring match: found 'aspera' in 'aspera', version='4.2.x'"
Terraform Self-Managed,1.15.0,Terraform Self-Managed,blue,no_match,"No match found for product 'Terraform Self-Managed' (mapped from 'Terraform Self-Managed'), version '1.15.0'"
Z OMEGAMON AI for CICS,5.5.0,Z OMEGAMON AI for CICS,blue,no_match,"No match found for product 'Z OMEGAMON AI for CICS' (mapped from 'Z OMEGAMON AI for CICS'), version '5.5.0'"
Network Switches,nan,Network Switches,blue,no_match,Empty or null version
Workload Automation,9.4 - on prem,Workload Automation,blue,no_match,"No match found for product 'Workload Automation' (mapped from 'Workload Automation'), version '9.4 - on prem'"
Application Discovery and Delivery Intelligence,6.1.1,Application Discovery and Delivery Intelligence,green,substring,"Substring match: found 'application discovery and delivery intelligence' in 'ibm application discovery and delivery intelligence for ibm z', version='6.1.x'"
Quantum Safe Remediator,1.1,Quantum Safe Remediator,green,substring,"Substring match: found 'quantum safe remediator' in 'ibm quantum safe remediator', version='1.1.x'"
OMEGAMON for z/OS Management Suite,6.3,OMEGAMON for z/OS Management Suite,blue,no_match,"No match found for product 'OMEGAMON for z/OS Management Suite' (mapped from 'OMEGAMON for z/OS Management Suite'), version '6.3'"
Db2 Automation Tool for z/OS,4.3,Db2 Automation Tool for z/OS,green,substring,"Substring match: found 'db2 automation tool for z/os' in 'ibm db2 automation tool for z/os', version='4.3.0'"
Z IntelliMagic Vision,1.2.0.5,Z IntelliMagic Vision,green,major.minor,Major.minor match: '1.2.0.5' matches '1.2.0.0' in 'ibm z intellimagic vision'
Storage Protect Plus,Version 10.1.13 Build: 209,Storage Protect Plus,green,wildcard,Wildcard match: version 'version 10.1.13 build: 209' matches pattern '10.1.x' in 'ibm storage protect plus'
DataStax Mission Control,1.8.2,DataStax Mission Control,blue,no_match,"No match found for product 'DataStax Mission Control' (mapped from 'DataStax Mission Control'), version '1.8.2'"
