Product Name,Invalid Version String,Reason,Total Tickets Affected
SDK for Node.js,"SDK for Node.js - z/OS, V20.0 (EOS, 4/30/2026)",Matches pattern: \(.*\),10
XL C/C++,"XL C for AIX, V13.1 (EOS 9/30/2022)",Matches pattern: \(.*\),10
Storage Protect for Mail,7.1 (End of Service),Matches pattern: \(.*\),10
PL/I,"Enterprise PL/I for z/OS, V4.2 (EOS9/30/2016)",Matches pattern: \(.*\),10
CICS TX Advanced,11.1 (EOS 31 Dec 2025),Matches pattern: \(.*\),10
Sterling Gentran Server,Gentran Server for Windows - 5.3.0,Too many words (6),9
Application Delivery Foundation Common Component,1.8.0 (EOS 2024-04-30),Matches pattern: \(.*\),9
Developer for z/OS,"14.2.x (EOS, 2022-09-30)",Matches pattern: \(.*\),9
Developer for z/OS,"14.1.x (EOS, 2021-04-30)",Matches pattern: \(.*\),9
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 17, 2024 1:32:17 AM",Too many words (9),9
Db2 Analytics Accelerator for z/OS,5.1.0 (EOS),Matches pattern: \(.*\),9
Tivoli Network Manager,4.2.0.3 (build 34),Matches pattern: \(.*\),9
Sterling Connect Direct,C:D UNIX 6.0 (Unsupported),Matches pattern: \(.*\),9
IMS,13.0 (EOS),Matches pattern: \(.*\),9
Spectrum Protect for ERP,7.1 (End of Service),Matches pattern: \(.*\),9
Sterling Call Center,9.5 (Extended Support Only),Matches pattern: \(.*\),9
Sterling Store,9.5 (Extended Support Only),Matches pattern: \(.*\),9
Storage Protect Plus,"Version 10.1.15 Build: 164 Jul 31, 2023 7:42:54 PM",Too many words (9),9
Engineering Lifecycle Management Base,6.0.1 (Ended Support 12/31/2020),Matches pattern: \(.*\),9
Cloud Infrastructure Center,1.1.5 for IBM Z and LinuxONE,Too many words (6),9
Storage Scale,5.0.4 (EOS 4/30/2022),Matches pattern: \(.*\),9
Open Enterprise SDK for Node.js,"SDK for Node.js - z/OS, V22.0",Too many words (6),8
Sterling Gentran Server,Gentran Server for Unix - 6.1.0,Too many words (6),8
Blockchain Platform,2.5.2 (End of Support),Matches pattern: \(.*\),8
Engineering Requirements Management DOORS Next,7.0.1 (Ended Support 9/30/2023),Matches pattern: \(.*\),8
Storage Protect Plus,"Version 10.1.16 Build: 542 Aug 22, 2024 6:10:34 PM",Too many words (9),8
XL C/C++,"XL C/C++ for Linux, V16.1 (EOS, 9/30/2024)",Matches pattern: \(.*\),8
Engineering Workflow Management,6.0.5 (Ended Support 04/30/2021),Matches pattern: \(.*\),8
IMS DataPropagator for z/OS,3.1.0 (EOS),Matches pattern: \(.*\),8
Engineering Lifecycle Optimization Publishing,6.0.5 (Ended Support 04/30/2021),Matches pattern: \(.*\),8
Storage Protect Plus,"Version 10.1.16 Build: 607 Dec 17, 2024",Too many words (7),8
Explorer for z/OS,"3.1.x (EOS, 2024-04-30)",Matches pattern: \(.*\),8
Rational Synergy,7.1.x (EOS),Matches pattern: \(.*\),8
Storage Scale System Software,Spectrum Scale Data Access Edition for ESS v5.1.4,Too many words (8),8
Engineering Lifecycle Management Base,6.0.6 (Ended Support 10/31/2022),Matches pattern: \(.*\),8
Storage Scale,5.0.3 (EOS 4/30/2022),Matches pattern: \(.*\),8
Tivoli Network Manager,3.9.0.5 (build 132),Matches pattern: \(.*\),8
Z NetView,6.1.0 (EoS = 2018-09-30),Matches pattern: \(.*\),7
Tivoli Network Manager,4.2.0.13 (Build 137),Matches pattern: \(.*\),7
Engineering Lifecycle Management Suite,7.0.1 (Ended Support 09/30/2023),Matches pattern: \(.*\),7
Z Decision Support,1.8.2 (EoS = 2022-04-30),Matches pattern: \(.*\),7
Unified Key Orchestrator for Containers,UKO for Containers v3.1 (v3.1.0.5),Matches pattern: \(.*\),7
Tivoli Network Manager,4.2.0.8 (build 84),Matches pattern: \(.*\),7
CICS Transaction Server,CICS TS 5.1 - (EOS 1st Jul 2019),Matches pattern: \(.*\),7
Storage Protect Plus,"Version 10.1.16 Build: 542 Aug 22, 2024 5:40:34 AM",Too many words (9),7
Storage Protect Plus,"Version 10.1.12 Build: 400 Jan 3, 2023 4:26:36 PM",Too many words (9),7
Python for z/OS,"Open Enterprise Python for z/OS, V3.10 (EOS, 9/30/2024)",Too long (55 chars),7
PL/I,"Enterprise PL/I for z/OS, V5.2 (EOS, 9/30/2022)",Matches pattern: \(.*\),7
Python for z/OS,"Open Enterprise Python for z/OS, V3.10",Too many words (6),7
Sterling Connect Direct for z/OS,5.1 (Unsupported),Matches pattern: \(.*\),7
SDK for Node.js,"SDK for Node.js - z/OS, V20.0",Too many words (6),7
Storage Scale Erasure Code Edition,Spectrum Scale Data Access Edition for ESS 5.1.0,Too many words (8),7
Storage Protect Plus,"Version 10.1.16 Build: 542 Aug 22, 2024",Too many words (7),6
RMF Reporter,2.4.0 (EOS - Sept 2024),Matches pattern: \(.*\),6
z Development and Test Environment,"12.0.x (EOS, 2022-04-30)",Matches pattern: \(.*\),6
IMS,12.0 (EOS),Matches pattern: \(.*\),6
Sterling File Gateway,6.0.2 (not supported),Matches pattern: \(.*\),6
Tivoli Network Manager,4.2.0.9 (build 99),Matches pattern: \(.*\),6
Open Enterprise SDK for Node.js,"SDK for Node.js - z/OS, V20.0 (EOS, 4/30/2026)",Matches pattern: \(.*\),6
Engineering Lifecycle Management Extended SaaS,7.0.1 (Ended Support 09/30/2023),Matches pattern: \(.*\),6
